scenario;dimension;segment;n;win_rate_t1;avg_return;median_return;profit_factor;max_drawdown;expectancy;avg_holding_weeks
A;score;alto (>=70);20;0.25;0.3218;0.0495;9.306;-0.4939;0.2637;48.1
A;score;bajo (<40);69;0.0725;0.1232;0.1774;2.4737;-0.7163;-0.0016;47.5
A;score;medio (40-69);322;0.0839;0.1396;0.0931;2.8635;-0.7796;0.0224;46.9
A;fibonacci;alta (0.68-0.786);50;0.12;0.1944;0.1244;3.1909;-0.6329;0.0698;45.3
A;fibonacci;baja (0.382-0.50);159;0.0629;0.156;0.1408;3.5241;-0.7796;0.0275;49.8
A;fibonacci;ideal (0.50-0.68);202;0.104;0.1255;0.0931;2.5464;-0.7382;0.0222;45.3
A;mercado;AS;18;0.0556;-0.1191;-0.2302;0.5235;-0.6162;-0.0876;44.1
A;mercado;BR;8;0.0;-0.1432;-0.076;0.1109;-0.5369;-0.1075;44.0
A;mercado;LS;10;0.1;0.0325;0.0232;1.3801;-0.4939;0.0408;39.9
A;mercado;MC;16;0.0;-0.0064;-0.0052;0.9336;-0.4828;-0.0163;46.9
A;mercado;MI;4;0.25;0.881;0.7546;inf;-0.4652;0.5069;39.5
A;mercado;OL;13;0.0769;0.0049;-0.0431;1.0297;-0.6712;-0.0476;49.2
A;mercado;PA;4;0.0;0.1944;0.4044;4.3359;-0.321;0.0;52.0
A;mercado;ST;22;0.0;0.1542;0.1289;8.4422;-0.2911;0.0;48.8
A;mercado;US;316;0.1044;0.1746;0.1443;3.8104;-0.7796;0.0419;47.4
A;año;2013;8;0.125;0.1978;0.1824;20.5866;-0.1682;0.0966;49.2
A;año;2014;18;0.2222;0.1645;0.1789;4.1328;-0.4939;0.0526;48.4
A;año;2015;26;0.0;-0.0205;-0.04;0.7945;-0.5664;0.0;52.0
A;año;2016;44;0.1364;0.3364;0.336;26.5337;-0.2595;0.0846;50.9
A;año;2017;18;0.2778;0.2163;0.2744;11.3858;-0.2612;0.0993;51.6
A;año;2018;15;0.0667;0.0118;0.0505;1.1198;-0.5321;-0.0182;49.7
A;año;2019;50;0.02;-0.0744;-0.1005;0.6553;-0.7796;-0.1791;42.2
A;año;2020;22;0.3182;0.3636;0.3763;8.8955;-0.5594;0.2075;45.3
A;año;2021;11;0.0909;-0.1563;-0.2677;0.2278;-0.5259;-0.0311;48.4
A;año;2022;30;0.0;0.0844;0.1127;1.9452;-0.6125;-0.039;51.3
A;año;2023;88;0.0341;0.1639;0.1737;4.4593;-0.6162;0.0128;51.3
A;año;2024;24;0.125;0.2723;0.2302;7.884;-0.4018;0.0965;52.0
A;año;2025;28;0.1429;0.3516;0.1993;5.4945;-0.5442;0.2746;48.3
A;año;2026;29;0.0345;0.0379;0.0222;2.8941;-0.2759;0.006;18.0
