ticker;scenario;entry_date;entry_price;exit_date;exit_price;exit_reason;return_pct;max_drawdown_pct;holding_weeks;score;fib_retracement;stop_price;target_1618;target_2618;hit_target_1;hit_target_2;weeks_to_target_1;max_favorable_excursion;precio_punto0;precio_puntoC;bolsa;ratio_volumen;pct_sobre_linea;close_strength;weeks_since_c;w1_duration;w2_duration;avg_volume_w2
CRH;A;2013-08-12;16.1391;2014-08-11;17.458;TIMEOUT;0.0817;-0.0835;52;64;0.5047;11.1002;22.7708;28.2932;False;False;;0.3611;11.1002;13.8356;US;1.8018;0.1077;0.4706;7;40;15;1140393.3333333333
CRH;B;2013-08-12;16.1391;2014-08-11;17.458;TIMEOUT;0.0817;-0.0835;52;64;0.5047;13.8356;22.7708;28.2932;False;False;;0.3611;11.1002;13.8356;US;1.8018;0.1077;0.4706;7;40;15;1140393.3333333333
CRH;C;2013-08-12;16.1391;2014-06-23;19.3315;STOP_C_P3;0.1978;-0.0835;45;64;0.5047;19.3315;22.7708;28.2932;False;False;;0.3611;11.1002;13.8356;US;1.8018;0.1077;0.4706;7;40;15;1140393.3333333333
CAT;A;2013-10-21;61.919;2014-10-20;74.5685;TIMEOUT;0.2043;-0.0342;52;35;0.6735;46.8027;114.9608;150.013;False;False;;0.3397;46.8027;58.2462;US;1.4394;0.0489;0.281;17;20;70;32834101.42857143
ITX.MC;A;2013-10-21;16.3547;2014-10-20;15.0325;TIMEOUT;-0.0808;-0.1682;52;46;0.3447;7.0789;25.7292;33.9332;False;False;;0.0319;7.0789;12.455;MC;2.5915;0.1783;0.6667;17;69;27;46822039.44444445
CAT;B;2013-10-21;61.919;2014-10-20;74.5685;TIMEOUT;0.2043;-0.0342;52;35;0.6735;58.2462;114.9608;150.013;False;False;;0.3397;46.8027;58.2462;US;1.4394;0.0489;0.281;17;20;70;32834101.42857143
ITX.MC;B;2013-10-21;16.3547;2014-10-20;15.0325;TIMEOUT;-0.0808;-0.1682;52;46;0.3447;12.455;25.7292;33.9332;False;False;;0.0319;7.0789;12.455;MC;2.5915;0.1783;0.6667;17;69;27;46822039.44444445
CAT;C;2013-10-21;61.919;2014-10-20;74.5685;TIMEOUT;0.2043;-0.0342;52;35;0.6735;61.919;114.9608;150.013;False;False;;0.3397;46.8027;58.2462;US;1.4394;0.0489;0.281;17;20;70;32834101.42857143
ITX.MC;C;2013-10-21;16.3547;2014-10-20;15.0325;TIMEOUT;-0.0808;-0.1682;52;46;0.3447;11.8322;25.7292;33.9332;False;False;;0.0319;7.0789;12.455;MC;2.5915;0.1783;0.6667;17;69;27;46822039.44444445
DHI;A;2013-11-11;17.0505;2014-11-10;21.3567;TIMEOUT;0.2526;-0.0475;52;68;0.5106;6.8497;43.3145;60.6174;False;False;;0.2922;6.8497;15.3184;US;1.5174;0.0383;0.8348;4;84;22;38055481.81818182
DHI;B;2013-11-11;17.0505;2014-11-10;21.3567;TIMEOUT;0.2526;-0.0475;52;68;0.5106;15.3184;43.3145;60.6174;False;False;;0.2922;6.8497;15.3184;US;1.5174;0.0383;0.8348;4;84;22;38055481.81818182
DHI;C;2013-11-11;17.0505;2014-10-13;17.0505;STOP_C_P2;0.0;-0.0475;48;68;0.5106;17.0505;43.3145;60.6174;False;False;;0.2922;6.8497;15.3184;US;1.5174;0.0383;0.8348;4;84;22;38055481.81818182
BCP.LS;A;2013-12-02;0.8785;2014-06-30;1.5573;TARGET_2;0.7727;0.0;30;22;0.7344;0.3625;1.1429;1.5573;True;True;3;0.7854;0.3625;0.4726;LS;1.344;0.5733;0.5041;22;18;23;92435014.82608695
MPC;A;2013-12-02;30.2285;2014-12-01;32.6127;TIMEOUT;0.0789;-0.1309;52;59;0.5154;11.2783;54.084;74.4427;False;False;;0.1467;11.2783;21.1438;US;1.8159;0.3796;0.7492;8;42;28;32532792.85714286
VLO;A;2013-12-02;29.3244;2014-12-01;31.9882;TIMEOUT;0.0908;-0.0732;52;52;0.4333;11.1421;47.3851;63.9743;False;False;;0.288;11.1421;20.5439;US;1.5131;0.2395;0.7509;22;39;17;47312425.058823526
BCP.LS;B;2013-12-02;0.8785;2014-06-30;1.5573;TARGET_2;0.7727;0.0;30;22;0.7344;0.4726;1.1429;1.5573;True;True;3;0.7854;0.3625;0.4726;LS;1.344;0.5733;0.5041;22;18;23;92435014.82608695
